source,season_code,season,era,league,date,home_team,away_team,home_goals,away_goals,result,total_goals,home_shots,away_shots,total_shots,home_shots_on_target,away_shots_on_target,total_shots_on_target,home_fouls,away_fouls,total_fouls,home_corners,away_corners,total_corners,home_yellow,away_yellow,total_yellow,home_red,away_red,total_red,low_scoring_1_or_less,low_scoring_2_or_less,high_scoring_4_or_more,draw_flag,home_win_flag,away_win_flag,shot_conversion_rate,shot_on_target_rate
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Hamburg,M'gladbach,1,0,H,1,10,5,15,3,0,3,14,22,36,5,0,5,1,2,3,0,0,0,1,1,0,0,1,0,0.066667,0.2
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Hannover,Bayern Munich,1,0,H,1,9,13,22,4,2,6,27,20,47,4,4,8,0,1,1,0,0,0,1,1,0,0,1,0,0.045455,0.272727
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Hertha,Cottbus,0,1,A,1,19,9,28,8,4,12,18,21,39,7,2,9,1,3,4,0,0,0,1,1,0,0,0,1,0.035714,0.428571
football-data.co.uk,0809,2008/2009,historical,Bundesliga,27/09/08,Werder Bremen,Hoffenheim,5,4,H,9,15,21,36,7,7,14,23,19,42,5,7,12,0,1,1,1,0,1,0,0,1,0,1,0,0.25,0.388889
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/09/08,Ein Frankfurt,Bielefeld,1,1,D,2,18,6,24,9,2,11,19,14,33,9,2,11,3,1,4,0,0,0,0,1,0,1,0,0,0.083333,0.458333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/09/08,Karlsruhe,Wolfsburg,2,1,H,3,9,19,28,2,5,7,20,17,37,4,8,12,2,1,3,0,1,1,0,0,0,0,1,0,0.107143,0.25
football-data.co.uk,0809,2008/2009,historical,Bundesliga,03/10/08,Bielefeld,Karlsruhe,1,2,A,3,14,14,28,4,8,12,17,18,35,4,9,13,2,2,4,0,0,0,0,0,0,0,0,1,0.107143,0.428571
football-data.co.uk,0809,2008/2009,historical,Bundesliga,04/10/08,Bayern Munich,Bochum,3,3,D,6,22,11,33,8,7,15,13,18,31,11,7,18,2,3,5,0,0,0,0,0,1,1,0,0,0.181818,0.454545
football-data.co.uk,0809,2008/2009,historical,Bundesliga,04/10/08,Hoffenheim,Ein Frankfurt,2,1,H,3,15,10,25,6,5,11,23,26,49,7,5,12,1,3,4,0,0,0,0,0,0,0,1,0,0.12,0.44
football-data.co.uk,0809,2008/2009,historical,Bundesliga,04/10/08,Leverkusen,Hertha,0,1,A,1,27,6,33,13,3,16,13,18,31,12,5,17,1,2,3,0,0,0,1,1,0,0,0,1,0.030303,0.484848
football-data.co.uk,0809,2008/2009,historical,Bundesliga,04/10/08,M'gladbach,FC Koln,1,2,A,3,13,21,34,4,7,11,24,14,38,3,9,12,3,1,4,0,0,0,0,0,0,0,0,1,0.088235,0.323529
football-data.co.uk,0809,2008/2009,historical,Bundesliga,04/10/08,Stuttgart,Werder Bremen,4,1,H,5,20,14,34,7,3,10,12,21,33,6,6,12,3,4,7,0,0,0,0,0,1,0,1,0,0.147059,0.294118
football-data.co.uk,0809,2008/2009,historical,Bundesliga,05/10/08,Cottbus,Hamburg,1,2,A,3,9,25,34,4,9,13,20,14,34,3,9,12,2,3,5,0,0,0,0,0,0,0,0,1,0.088235,0.382353
football-data.co.uk,0809,2008/2009,historical,Bundesliga,05/10/08,Dortmund,Hannover,1,1,D,2,16,11,27,5,1,6,9,17,26,7,5,12,2,1,3,0,0,0,0,1,0,1,0,0,0.074074,0.222222
football-data.co.uk,0809,2008/2009,historical,Bundesliga,05/10/08,Schalke 04,Wolfsburg,2,2,D,4,17,12,29,8,4,12,16,13,29,7,5,12,4,2,6,0,1,1,0,0,1,1,0,0,0.137931,0.413793
football-data.co.uk,0809,2008/2009,historical,Bundesliga,17/10/08,Bochum,M'gladbach,2,2,D,4,15,9,24,5,4,9,17,16,33,7,4,11,4,3,7,0,0,0,0,0,1,1,0,0,0.166667,0.375
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Ein Frankfurt,Leverkusen,0,2,A,2,13,14,27,3,7,10,20,23,43,6,3,9,2,5,7,0,0,0,0,1,0,0,0,1,0.074074,0.37037
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,FC Koln,Cottbus,1,0,H,1,26,6,32,8,1,9,19,19,38,9,2,11,2,2,4,0,1,1,1,1,0,0,1,0,0.03125,0.28125
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Hannover,Hoffenheim,2,5,A,7,11,20,31,4,9,13,19,20,39,5,7,12,1,2,3,1,0,1,0,0,1,0,0,1,0.225806,0.419355
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Hertha,Stuttgart,2,1,H,3,14,17,31,5,4,9,17,11,28,3,6,9,2,1,3,0,0,0,0,0,0,0,1,0,0.096774,0.290323
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Karlsruhe,Bayern Munich,0,1,A,1,9,16,25,2,5,7,21,18,39,3,7,10,3,2,5,0,0,0,1,1,0,0,0,1,0.04,0.28
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Werder Bremen,Dortmund,3,3,D,6,20,9,29,5,4,9,17,19,36,10,3,13,3,2,5,0,0,0,0,0,1,1,0,0,0.206897,0.310345
football-data.co.uk,0809,2008/2009,historical,Bundesliga,18/10/08,Wolfsburg,Bielefeld,4,1,H,5,16,8,24,7,4,11,15,12,27,10,2,12,0,2,2,0,0,0,0,0,1,0,1,0,0.208333,0.458333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,19/10/08,Hamburg,Schalke 04,1,1,D,2,13,8,21,5,4,9,26,20,46,2,3,5,3,2,5,0,0,0,0,1,0,1,0,0,0.095238,0.428571
football-data.co.uk,0809,2008/2009,historical,Bundesliga,22/10/08,Ein Frankfurt,Karlsruhe,2,1,H,3,13,10,23,3,3,6,17,14,31,8,5,13,3,1,4,0,0,0,0,0,0,0,1,0,0.130435,0.26087
football-data.co.uk,0809,2008/2009,historical,Bundesliga,24/10/08,Leverkusen,FC Koln,2,0,H,2,11,13,24,5,3,8,22,19,41,4,3,7,1,5,6,0,0,0,0,1,0,0,1,0,0.083333,0.333333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,25/10/08,Bayern Munich,Wolfsburg,4,2,H,6,19,13,32,7,5,12,18,24,42,2,3,5,3,2,5,0,0,0,0,0,1,0,1,0,0.1875,0.375
football-data.co.uk,0809,2008/2009,historical,Bundesliga,25/10/08,Cottbus,Ein Frankfurt,2,3,A,5,14,16,30,4,8,12,19,20,39,2,4,6,1,3,4,0,0,0,0,0,1,0,0,1,0.166667,0.4
football-data.co.uk,0809,2008/2009,historical,Bundesliga,25/10/08,Hannover,Werder Bremen,1,1,D,2,19,13,32,7,5,12,18,13,31,10,8,18,3,3,6,0,0,0,0,1,0,1,0,0,0.0625,0.375
football-data.co.uk,0809,2008/2009,historical,Bundesliga,25/10/08,M'gladbach,Karlsruhe,1,0,H,1,12,17,29,2,2,4,24,11,35,3,12,15,2,0,2,0,0,0,1,1,0,0,1,0,0.034483,0.137931
football-data.co.uk,0809,2008/2009,historical,Bundesliga,25/10/08,Schalke 04,Bielefeld,0,0,D,0,20,7,27,7,2,9,16,23,39,8,1,9,1,2,3,0,1,1,1,1,0,1,0,0,0.0,0.333333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,26/10/08,Dortmund,Hertha,1,1,D,2,24,15,39,7,5,12,15,16,31,10,5,15,2,3,5,0,0,0,0,1,0,1,0,0,0.051282,0.307692
football-data.co.uk,0809,2008/2009,historical,Bundesliga,26/10/08,Hoffenheim,Hamburg,3,0,H,3,23,13,36,10,0,10,30,24,54,6,4,10,1,4,5,0,0,0,0,0,0,0,1,0,0.083333,0.277778
football-data.co.uk,0809,2008/2009,historical,Bundesliga,26/10/08,Stuttgart,Bochum,2,0,H,2,14,8,22,5,3,8,18,26,44,4,5,9,3,3,6,0,0,0,0,1,0,0,1,0,0.090909,0.363636
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/10/08,Bielefeld,Cottbus,1,1,D,2,19,8,27,3,2,5,16,24,40,11,0,11,5,2,7,0,1,1,0,1,0,1,0,0,0.074074,0.185185
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/10/08,Karlsruhe,Schalke 04,0,3,A,3,11,20,31,6,10,16,10,16,26,7,9,16,1,2,3,1,0,1,0,0,0,0,0,1,0.096774,0.516129
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/10/08,Werder Bremen,Leverkusen,0,2,A,2,13,15,28,2,5,7,15,15,30,6,5,11,1,0,1,0,0,0,0,1,0,0,0,1,0.071429,0.25
football-data.co.uk,0809,2008/2009,historical,Bundesliga,28/10/08,Wolfsburg,M'gladbach,3,0,H,3,21,12,33,6,2,8,17,22,39,11,2,13,1,5,6,0,0,0,0,0,0,0,1,0,0.090909,0.242424
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/10/08,Bochum,Hoffenheim,1,3,A,4,9,10,19,6,7,13,31,15,46,6,7,13,3,2,5,1,0,1,0,0,1,0,0,1,0.210526,0.684211
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/10/08,Ein Frankfurt,Bayern Munich,1,2,A,3,11,15,26,1,6,7,14,15,29,5,2,7,3,6,9,0,0,0,0,0,0,0,0,1,0.115385,0.269231
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/10/08,FC Koln,Dortmund,0,1,A,1,7,20,27,1,7,8,11,11,22,3,5,8,2,2,4,0,0,0,1,1,0,0,0,1,0.037037,0.296296
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/10/08,Hamburg,Stuttgart,2,0,H,2,12,22,34,5,5,10,16,19,35,4,4,8,1,3,4,0,0,0,0,1,0,0,1,0,0.058824,0.294118
football-data.co.uk,0809,2008/2009,historical,Bundesliga,29/10/08,Hertha,Hannover,3,0,H,3,15,20,35,8,3,11,14,13,27,5,4,9,3,0,3,0,0,0,0,0,0,0,1,0,0.085714,0.314286
football-data.co.uk,0809,2008/2009,historical,Bundesliga,31/10/08,Leverkusen,Wolfsburg,2,0,H,2,18,8,26,6,1,7,15,13,28,9,4,13,0,1,1,0,0,0,0,1,0,0,1,0,0.076923,0.269231
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Bayern Munich,Bielefeld,3,1,H,4,35,2,37,12,1,13,14,19,33,20,0,20,1,5,6,0,1,1,0,0,1,0,1,0,0.108108,0.351351
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Cottbus,Schalke 04,0,2,A,2,12,10,22,3,3,6,22,12,34,2,2,4,2,3,5,0,1,1,0,1,0,0,0,1,0.090909,0.272727
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Hannover,Hamburg,3,0,H,3,9,22,31,6,5,11,21,13,34,4,11,15,1,1,2,0,0,0,0,0,0,0,1,0,0.096774,0.354839
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Hoffenheim,Karlsruhe,4,1,H,5,30,10,40,12,3,15,22,29,51,6,2,8,2,3,5,0,0,0,0,0,1,0,1,0,0.125,0.375
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Stuttgart,FC Koln,1,3,A,4,16,9,25,6,5,11,13,11,24,9,3,12,1,5,6,0,0,0,0,0,1,0,0,1,0.16,0.44
football-data.co.uk,0809,2008/2009,historical,Bundesliga,01/11/08,Werder Bremen,Hertha,5,1,H,6,21,6,27,11,3,14,18,13,31,3,3,6,2,0,2,0,0,0,0,0,1,0,1,0,0.222222,0.518519
football-data.co.uk,0809,2008/2009,historical,Bundesliga,02/11/08,Dortmund,Bochum,1,1,D,2,14,10,24,3,5,8,14,23,37,5,6,11,1,3,4,0,0,0,0,1,0,1,0,0,0.083333,0.333333
football-data.co.uk,0809,2008/2009,historical,Bundesliga,02/11/08,M'gladbach,Ein Frankfurt,1,2,A,3,12,8,20,2,4,6,22,23,45,7,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0.15,0.3
football-data.co.uk,0809,2008/2009,historical,Bundesliga,07/11/08,FC Koln,Hannover,2,1,H,3,12,10,22,7,2,9,18,19,37,10,3,13,3,2,5,0,1,1,0,0,0,0,1,0,0.136364,0.409091
